season,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
1,1,0,6,0,2,0.344167,0.805833,0.160446,985
1,1,0,0,0,2,0.363478,0.696087,0.248539,801
1,1,0,1,1,1,0.196364,0.437273,0.248309,1349
1,1,0,2,1,1,0.2,0.590435,0.160296,1562
1,1,0,3,1,1,0.226957,0.436957,0.1869,1600
1,1,0,4,1,1,0.204348,0.518261,0.0895652,1606
1,1,0,5,1,2,0.196522,0.498696,0.168726,1510
1,1,0,6,0,2,0.165,0.535833,0.266804,959
1,1,0,0,0,1,0.138333,0.434167,0.36195,822
1,1,0,1,1,1,0.150833,0.482917,0.223267,1321
1,1,0,2,1,2,0.169091,0.686364,0.122132,1263
1,1,0,3,1,1,0.172727,0.599545,0.304627,1162
1,1,0,4,1,1,0.165,0.470417,0.301,1406
1,1,0,5,1,1,0.16087,0.537826,0.126548,1421
1,1,0,6,0,2,0.233333,0.49875,0.157963,1248
1,1,0,0,0,1,0.231667,0.48375,0.188433,1204
1,1,1,1,0,2,0.175833,0.5375,0.194017,1000
1,1,0,2,1,2,0.216667,0.861667,0.146775,683
1,1,0,3,1,2,0.292174,0.741739,0.208317,1650
1,1,0,4,1,2,0.261667,0.538333,0.195904,1927
1,1,0,5,1,1,0.1775,0.457083,0.353242,1543
1,1,0,6,0,1,0.0591304,0.4,0.17197,981
1,1,0,0,0,1,0.0965217,0.436522,0.2466,986
1,1,0,1,1,1,0.0973913,0.491739,0.15833,1416
1,1,0,2,1,2,0.223478,0.616957,0.129796,1985
1,1,0,3,1,3,0.2175,0.8625,0.29385,506
1,1,0,4,1,1,0.195,0.6875,0.113837,431
1,1,0,5,1,2,0.203478,0.793043,0.1233,1167
1,1,0,6,0,1,0.196522,0.651739,0.145365,1098
1,1,0,0,0,1,0.216522,0.722174,0.0739826,1096
1,1,0,1,1,2,0.180833,0.60375,0.187192,1501
1,2,0,2,1,2,0.192174,0.829565,0.053213,1360
1,2,0,3,1,2,0.26,0.775417,0.264308,1526
1,2,0,4,1,1,0.186957,0.437826,0.277752,1550
1,2,0,5,1,2,0.211304,0.585217,0.127839,1708
1,2,0,6,0,2,0.233333,0.929167,0.161079,1005
1,2,0,0,0,1,0.285833,0.568333,0.1418,1623
1,2,0,1,1,1,0.271667,0.738333,0.0454083,1712
